,LID,doc_link
0,1213,/document/2369
1,1219,/document/2370
2,1258,/document/2371
3,1608,/document/2372
4,1645,/document/2373
5,1687,/document/2374
6,1691,/document/2375
7,1775,/document/2376
8,1776,/document/2377
9,1910,/document/2378
10,1989,/document/2379
11,2150,/document/2380
12,1118,/document/2382
13,1171,/document/2383
14,1174,/document/2384
15,1180,/document/2385
16,1206,/document/2386
17,1214,/document/2387
18,1225,/document/2388
19,1247,/document/2389
20,1292,/document/2390
21,1314,/document/2391
22,1316,/document/2392
23,1321,/document/2393
24,1368,/document/2394
25,1404,/document/2395
26,1463,/document/2396
27,1471,/document/2397
28,1498,/document/2399
29,1515,/document/2400
30,1535,/document/2401
31,1546,/document/2402
32,1552,/document/2403
33,1576,/document/2404
34,1598,/document/2405
35,1599,/document/2406
36,1721,/document/2407
37,1736,/document/2408
38,1737,/document/2409
39,1739,/document/2410
40,1759,/document/2411
41,1769,/document/2412
42,1782,/document/2413
43,1796,/document/2414
44,1807,/document/2415
45,1828,/document/2416
46,1870,/document/2417
47,1879,/document/2418
48,1909,/document/2419
49,1932,/document/2420
50,1958,/document/2421
51,1988,/document/2422
52,2003,/document/2423
53,2047,/document/2424
54,2048,/document/2425
55,2061,/document/2426
56,2108,/document/2427
57,2116,/document/2428
58,2120,/document/2429
59,2121,/document/2430
60,2129,/document/2431
61,2131,/document/2432
62,2159,/document/2433
63,2176,/document/2434
64,2180,/document/2435
65,2183,/document/2436
66,2191,/document/2437
67,2203,/document/2438
68,1093,/document/2440
69,1115,/document/2441
70,1139,/document/2442
71,1210,/document/2443
72,1218,/document/2444
73,1227,/document/2445
74,1382,/document/2446
75,1452,/document/2447
76,1648,/document/2448
77,1705,/document/2449
78,1926,/document/2450
79,1960,/document/2451
80,1990,/document/2452
81,1993,/document/2453
82,2005,/document/2454
83,2043,/document/2455
84,2104,/document/2456
85,2172,/document/2457
86,1082,/document/2459
87,1114,/document/2462
88,1134,/document/2463
89,1133,/document/2464
90,1135,/document/2465
91,1145,/document/2466
92,1153,/document/2467
93,1155,/document/2468
94,1185,/document/2469
95,1195,/document/2470
96,1204,/document/2471
97,1215,/document/2472
98,1217,/document/2473
99,1220,/document/2474
100,1240,/document/2475
101,1264,/document/2476
102,1289,/document/2477
103,1294,/document/2478
104,1297,/document/2479
105,1300,/document/2480
106,1303,/document/2481
107,1355,/document/2482
108,1360,/document/2483
109,1364,/document/2484
110,1371,/document/2485
111,1385,/document/2486
112,1387,/document/2488
113,1417,/document/2489
114,1437,/document/2490
115,1448,/document/2491
116,1453,/document/2492
117,1465,/document/2493
118,1470,/document/2494
119,1472,/document/2495
120,1475,/document/2496
121,1496,/document/2497
122,1530,/document/2498
123,1541,/document/2499
124,1571,/document/2500
125,1607,/document/2501
126,1610,/document/2502
127,1647,/document/2504
128,1663,/document/2505
129,1688,/document/2506
130,1692,/document/2507
131,1701,/document/2508
132,1710,/document/2509
133,1712,/document/2510
134,1719,/document/2511
135,1726,/document/2512
136,1735,/document/2513
137,1738,/document/2514
138,1744,/document/2515
139,1766,/document/2516
140,1768,/document/2517
141,1787,/document/2519
142,1806,/document/2520
143,1811,/document/2521
144,1812,/document/2522
145,1819,/document/2523
146,1820,/document/2524
147,1824,/document/2525
148,1835,/document/2526
149,1838,/document/2527
150,1865,/document/2528
151,1878,/document/2529
152,1885,/document/2530
153,1902,/document/2531
154,1908,/document/2532
155,1915,/document/2533
156,1916,/document/2534
157,1922,/document/2535
158,1920,/document/2536
159,1930,/document/2537
160,1945,/document/2538
161,1955,/document/2539
162,1973,/document/2541
163,1983,/document/2542
164,1986,/document/2543
165,1994,/document/2544
166,1996,/document/2545
167,2007,/document/2546
168,2012,/document/2547
169,2011,/document/2548
170,2017,/document/2549
171,2035,/document/2550
172,2054,/document/2551
173,2122,/document/2552
174,2125,/document/2553
175,2135,/document/2554
176,2136,/document/2555
177,2137,/document/2556
178,2139,/document/2557
179,2146,/document/2558
180,2167,/document/2559
181,2168,/document/2560
182,2171,/document/2561
183,2202,/document/2562
184,1144,/document/2564
185,1146,/document/2565
186,1159,/document/2566
187,1248,/document/2567
188,1287,/document/2568
189,1301,/document/2569
190,1334,/document/2570
191,1323,/document/2571
192,1329,/document/2572
193,1370,/document/2573
194,1393,/document/2574
195,1395,/document/2575
196,1409,/document/2576
197,1422,/document/2577
198,1439,/document/2578
199,1460,/document/2579
200,1490,/document/2580
201,1547,/document/2581
202,1548,/document/2582
203,1553,/document/2583
204,1577,/document/2584
205,1582,/document/2585
206,1584,/document/2586
207,1585,/document/2587
208,1604,/document/2588
209,1637,/document/2589
210,1639,/document/2590
211,1649,/document/2591
212,1656,/document/2592
213,1661,/document/2593
214,1702,/document/2594
215,1733,/document/2595
216,1748,/document/2596
217,1756,/document/2597
218,1804,/document/2598
219,1831,/document/2600
220,1842,/document/2601
221,1881,/document/2602
222,1903,/document/2603
223,1907,/document/2604
224,1919,/document/2605
225,1944,/document/2606
226,1947,/document/2607
227,1948,/document/2608
228,1954,/document/2609
229,1963,/document/2610
230,1976,/document/2611
231,1977,/document/2612
232,1978,/document/2613
233,2016,/document/2614
234,2032,/document/2615
235,2105,/document/2616
236,2107,/document/2617
237,2111,/document/2618
238,2113,/document/2619
239,2130,/document/2620
240,2178,/document/2622
241,2204,/document/2623
242,1106,/document/2625
243,1137,/document/2626
244,1141,/document/2627
245,1143,/document/2628
246,1147,/document/2629
247,1151,/document/2630
248,1172,/document/2631
249,1175,/document/2632
250,1176,/document/2633
251,1223,/document/2634
