,LID,doc_link
0,2909,/document/4269
1,2920,/document/4270
2,2925,/document/4271
3,2930,/document/4272
4,2931,/document/4273
5,2933,/document/4274
6,2937,/document/4275
7,2938,/document/4276
8,2939,/document/4277
9,2910,/document/4278
10,2911,/document/4279
11,2912,/document/4280
12,2913,/document/4281
13,2914,/document/4282
14,2915,/document/4283
15,2916,/document/4284
16,2917,/document/4285
17,2918,/document/4286
18,2919,/document/4287
19,2921,/document/4288
20,2922,/document/4289
21,2923,/document/4290
22,2924,/document/4291
23,2926,/document/4294
24,2927,/document/4295
25,2928,/document/4296
26,2929,/document/4300
27,2932,/document/4321
28,2934,/document/4322
29,2935,/document/4324
30,2936,/document/4327
31,2940,/document/4333
32,2941,/document/4334
33,2949,/document/4341
34,2950,/document/4342
35,2951,/document/4343
36,2952,/document/4344
37,2953,/document/4345
38,2954,/document/4346
39,2955,/document/4348
40,2956,/document/4349
41,2957,/document/4350
42,2958,/document/4351
43,2959,/document/4352
44,2960,/document/4353
45,2961,/document/4354
46,2962,/document/4355
47,2963,/document/4356
48,2964,/document/4357
49,2965,/document/4358
50,2966,/document/4359
51,2967,/document/4360
52,2968,/document/4361
53,2969,/document/4362
54,2970,/document/4363
55,2971,/document/4364
56,2972,/document/4365
57,2973,/document/4366
58,2974,/document/4367
59,2975,/document/4368
60,2976,/document/4369
61,2977,/document/4370
62,2978,/document/4371
63,2979,/document/4372
64,2980,/document/4373
65,2981,/document/4374
66,2982,/document/4375
67,2983,/document/4376
68,2984,/document/4377
69,2985,/document/4378
70,2986,/document/4379
71,2987,/document/4380
72,2988,/document/4381
73,2989,/document/4382
74,2990,/document/4383
75,2991,/document/4384
76,2992,/document/4385
77,2993,/document/4386
78,2994,/document/4387
79,2995,/document/4388
80,2996,/document/4389
81,2997,/document/4390
82,2998,/document/4391
83,2999,/document/4392
84,3000,/document/4393
85,3001,/document/4394
86,3002,/document/4395
87,3003,/document/4396
88,3004,/document/4397
89,3005,/document/4398
90,3006,/document/4399
91,3007,/document/4400
92,3008,/document/4401
93,3009,/document/4403
94,3010,/document/4404
95,3047,/document/4407
96,3011,/document/4408
97,3013,/document/4409
98,3019,/document/4410
99,3021,/document/4412
100,3022,/document/4413
101,3023,/document/4414
102,3024,/document/4415
103,3025,/document/4416
104,3026,/document/4417
105,3030,/document/4418
106,3032,/document/4419
107,3033,/document/4420
108,3034,/document/4421
109,3051,/document/4424
110,3052,/document/4425
111,3053,/document/4426
112,3054,/document/4427
113,3055,/document/4428
114,3056,/document/4429
115,3057,/document/4430
116,3058,/document/4431
117,3059,/document/4432
118,3060,/document/4433
119,3061,/document/4434
120,3062,/document/4435
121,3063,/document/4436
122,3064,/document/4437
123,3065,/document/4438
124,3066,/document/4439
125,3067,/document/4440
126,3068,/document/4441
127,3069,/document/4442
128,3070,/document/4443
129,3071,/document/4445
130,3072,/document/4446
131,3073,/document/4447
132,3074,/document/4448
133,3075,/document/4449
134,3076,/document/4450
135,3077,/document/4451
136,3078,/document/4452
137,3079,/document/4453
138,3080,/document/4454
139,3081,/document/4455
140,3082,/document/4456
141,3083,/document/4457
142,3087,/document/4459
143,3088,/document/4460
144,3089,/document/4461
145,3090,/document/4462
146,3091,/document/4463
