,LID,doc_link
0,2420,/document/3545
1,2432,/document/3546
2,2452,/document/3547
3,2453,/document/3548
4,2460,/document/3549
5,2463,/document/3550
6,2481,/document/3552
7,2489,/document/3553
8,2576,/document/3555
9,2653,/document/3556
10,2685,/document/3557
11,2697,/document/3558
12,2727,/document/3559
13,2765,/document/3560
14,2771,/document/3561
15,2777,/document/3562
16,2778,/document/3563
17,2791,/document/3565
18,2795,/document/3566
19,2842,/document/3567
20,2884,/document/3568
21,2890,/document/3569
22,2894,/document/3570
23,2901,/document/3572
24,2465,/document/3573
25,2466,/document/3574
26,2467,/document/3575
27,2506,/document/3577
28,2507,/document/3578
29,2509,/document/3580
30,2521,/document/3581
31,2533,/document/3582
32,2538,/document/3583
33,2566,/document/3584
34,2573,/document/3585
35,2773,/document/3587
36,2895,/document/3590
37,2399,/document/3591
38,2216,/document/3593
39,2221,/document/3594
40,2225,/document/3595
41,2230,/document/3596
42,2236,/document/3597
43,2237,/document/3598
44,2243,/document/3599
45,2244,/document/3600
46,2247,/document/3601
47,2255,/document/3602
48,2257,/document/3603
49,2285,/document/3604
50,2286,/document/3605
51,2291,/document/3606
52,2309,/document/3607
53,2329,/document/3608
54,2332,/document/3609
55,2333,/document/3610
56,2334,/document/3611
57,2335,/document/3612
58,2341,/document/3613
59,2350,/document/3614
60,2351,/document/3615
61,2354,/document/3616
62,2352,/document/3617
63,2353,/document/3618
64,2342,/document/3619
65,2345,/document/3620
66,2349,/document/3621
67,2363,/document/3622
68,2370,/document/3623
69,2376,/document/3624
70,2415,/document/3625
71,2416,/document/3626
72,2422,/document/3627
73,2896,/document/3628
74,2897,/document/3629
75,2898,/document/3630
76,2440,/document/3631
77,2441,/document/3632
78,2442,/document/3633
79,2439,/document/3634
80,2446,/document/3635
81,2445,/document/3636
82,2449,/document/3637
83,2450,/document/3638
84,2469,/document/3639
85,2471,/document/3640
86,2474,/document/3641
87,2503,/document/3642
88,2541,/document/3643
89,2542,/document/3645
90,2543,/document/3646
91,2552,/document/3647
92,2545,/document/3648
93,2546,/document/3649
94,2553,/document/3650
95,2555,/document/3651
96,2559,/document/3652
97,2560,/document/3653
98,2564,/document/3654
99,2567,/document/3655
100,2568,/document/3656
101,2574,/document/3658
102,2575,/document/3659
103,2587,/document/3660
104,2599,/document/3664
105,2644,/document/3665
106,2612,/document/3666
107,2623,/document/3668
108,2627,/document/3669
109,2629,/document/3670
110,2636,/document/3671
111,2633,/document/3673
112,2634,/document/3674
113,2635,/document/3675
114,2639,/document/3676
115,2652,/document/3677
116,2657,/document/3678
117,2662,/document/3679
118,2688,/document/3682
119,2695,/document/3683
120,2696,/document/3684
121,2698,/document/3685
122,2701,/document/3686
123,2703,/document/3687
124,2707,/document/3688
125,2713,/document/3689
126,2736,/document/3692
127,2721,/document/3693
128,2724,/document/3694
129,2729,/document/3695
130,2730,/document/3696
131,2731,/document/3697
132,2733,/document/3698
133,2734,/document/3699
134,2738,/document/3700
135,2740,/document/3702
136,2741,/document/3703
137,2743,/document/3706
138,2745,/document/3707
139,2746,/document/3708
140,2770,/document/3711
141,2785,/document/3712
142,2817,/document/3713
143,2841,/document/3714
144,2854,/document/3715
145,2873,/document/3716
146,2881,/document/3717
147,2214,/document/3719
148,2217,/document/3720
149,2219,/document/3721
150,2220,/document/3722
151,2222,/document/3723
152,2258,/document/3724
153,2314,/document/3726
154,2263,/document/3727
155,2265,/document/3728
156,2271,/document/3729
157,2272,/document/3730
158,2280,/document/3731
159,2281,/document/3732
160,2282,/document/3733
161,2283,/document/3734
162,2284,/document/3735
163,2326,/document/3736
164,2343,/document/3737
165,2364,/document/3739
166,2366,/document/3740
167,2368,/document/3741
168,2380,/document/3742
169,2402,/document/3743
170,2404,/document/3744
171,2406,/document/3745
172,2407,/document/3746
173,2425,/document/3747
174,2426,/document/3748
175,2438,/document/3749
176,2476,/document/3750
177,2478,/document/3751
178,2492,/document/3752
179,2513,/document/3754
180,2515,/document/3755
181,2520,/document/3756
182,2522,/document/3757
183,2524,/document/3758
184,2525,/document/3759
185,2535,/document/3760
186,2539,/document/3761
187,2550,/document/3762
188,2544,/document/3763
189,2563,/document/3764
190,2585,/document/3765
191,2595,/document/3766
192,2600,/document/3767
193,2601,/document/3768
