,Name
226,"Altman, Tosia"
227,"Altman, Zvi/Cwi"
228,Altmann (Major)
229,"Altmann, Erich"
230,"Altmann, Hermann"
231,Altmeyer (General)
232,"Altshuler, Bronislav"
233,"Altshuler, Clara"
234,"Altvarg, Zalmen"
235,"Alype, François-Pierre"
236,"Alămaru, Rubin"
237,Amalek
238,Amarandei
239,"Amat-Piniella, Joaquim"
240,Amberg
241,"Amberg, Chaium"
242,"Ambros, Otto"
243,"Ambross, Emmerich"
244,"Ambruş, Romulus"
245,"Amelung, Woldemar/Waldemar"
246,"Amel’chenko, Karp"
247,"Amikam, Benjamin"
248,"Amitz, Zaheva"
249,Amman
250,"Ammazzalorso, Armando"
251,"Amor, Abderhaman ben"
252,"Amoroso, Antonio"
253,"Amrufel, Lejka"
254,"Amsel, Pearl"
255,"Amselek, Albert"
256,Anan
257,"Anastasiadēs, Stergios"
258,Ande (Hauptmann)
259,"Anderman, Heinrich"
260,"Anderman, Janek"
261,"Anderman, Leon"
262,"Anders, Johanna Edith"
263,"Andesburg, Olea"
264,"Andonas, Vladas"
265,"Andonianţ, Grigore"
266,Andorf (doctor)
267,"Andorfer, Herbert"
268,"Andree, Albert"
269,"Andree, Max"
270,"Andrei, Cocuz"
271,"Andresiewicz, Wacław"
272,Andrey
273,"Andreyeva, Valentina"
274,"Andrieu, Andrien"
275,"Andrusiewicz, Wacław. See: Andresiewicz, Wacław"
276,"Andrusin, Afanasie Grigorievici"
277,"Andrusiv, Grigorii Vasil’evich"
278,Andrzejewski
279,"Andréis, Jean"
280,Andzelm family
281,"Andújar, Manuel"
282,"Angel, Rosa See: Anzhel, Roza"
283,"Angeli, Alexander"
284,"Angelis, de (Oberleutnant)"
285,Angelovich
286,"Angerer, Ernst"
287,"Angerer, Rudolf"
288,"Anielewicz, Mordechaj/Mordechai"
289,"Anishchenko, Ol’ga"
290,"Aniulis, Stanislovas"
291,"Anker, Paul"
292,"Anolik, Erna"
293,"Ansaldi, Adrianao"
294,"Ansbacher, Leo"
295,"Anschütz, Willi"
296,"Ansel, Werner"
297,"Ansky, Michel"
298,"Ansolis, Mania"
299,"Antalffy, Pál"
300,"Anthoni, Arno"
301,"Antipov, Leonid"
302,"Antl, Ödön"
303,"Antoine, Maurice"
304,"Anton, Wilhelm"
305,"Antonescu, Ion"
306,"Antonescu, Maria"
307,"Antonescu, Mihai"
308,"Antonov, G.I."
309,"Ants, Wilhelm"
310,"Antwerg, Zechariah"
311,"Anty, Raymond"
312,Antz
313,"Antōnatos, Gerasimos"
314,"Anzhel, Roza (Rosa Angel)"
315,"Aouad, Mohamed"
316,Apel
317,"Apel, Linde"
318,"Apelbaum, Mojżesz"
319,"Apel’, Iurii"
320,Apfelbaum family
321,"Apfelbaum, Icek"
322,"Apfelbaum, Jakub"
323,Apitz
324,Apkin
325,"Apolzan, Teodor"
326,"Apostolidis, Apostolos"
327,"Appel, Jakub"
328,Appelbaum
329,"Appelt, Mirko"
330,Appignanesi (doctor)
331,"Appignanesi, Maria"
332,"Arad, Yitzhak"
333,Aranowicz
334,"Arato, Paul"
335,"Arbeiter, Hela"
336,"Arbib, Benedetto"
337,"Arbus, Szmul. See: Arbuz, Szmul"
338,Arbuz
339,"Arbuz, Szmul"
340,"Arbuz, Yaakov"
341,"Arcichovska, Jadwiga"
342,"Ardelt, Robert"
343,"Arendt, Egon"
344,"Arendt, Gustav Baum"
345,Arenz
346,Argentyńczyk. See: Izraelewicz
347,Arliukevich family
348,"Arlt, Walter"
349,"Arluk, Shabtai"
350,"Armanasco, Stefano"
351,"Armancourt, Jehan d’"
352,"Armellini, Quirino"
353,"Arnaud, Raymond"
354,Arndt (Rittmeister)
355,"Arndt, Herbert Gustaw"
356,"Arnim, Adolf Julius Albrecht Bernd Count von"
357,"Arnim, Hans-Jürgen von"
358,Arnold
359,"Arnold, Bruno"
360,"Arnold, Henryk"
361,"Arnold, Otto"
362,"Arnold, Rudolf"
363,"Aron, Moshe"
364,"Aronaitė, Lėja"
365,Aronchik family
366,"Aronchik, Basia"
367,"Aronchik, Hirsh"
368,"Aronchik, Rakhel’"
369,"Aronin, A."
370,"Aronson, Motel"
371,"Aronstamm, Tanchum"
372,"Aronzon, Leib"
373,Arribeauthe (doctor)
374,Arsche. See: Orsche
375,Artecki family
376,"Artmann, H.C."
377,"Artmann, Johann"
378,"Arturjanz, Joseph"
379,"Arājs, Viktors"
380,"Asael, Mazal"
381,"Asbach, Hans-Adolf"
382,"Ascheberg, von"
383,"Aschenazi, Eti"
384,"Aschenbrenner, Heinrich"
385,"Ascher, Werner"
386,"Aschmann, Josef"
387,Aschmudat (Hauptmann)
388,"Ashendorf, Wolf"
389,"Ashers, Moshe Shloyme"
390,"Asimov, Isaac"
